Benchmark;Variation in run 1 (%);Variation in run 2 (%);run to run variation (%)
concurrent.ConcCollectionBenchmark.ConcurrentSkipMapSetGet;3.62;3.12;0.37
concurrent.ConcCollectionBenchmark.CopyOnWriteArrayAdd;5.40;8.14;1.05
concurrent.ConcCollectionBenchmark.CopyOnWriteArrayListGet;0.35;0.31;0.20
concurrent.ConcCollectionBenchmark.CopyOnWriteArrayRemove;4.58;4.13;1.05
concurrent.ConcCollectionBenchmark.CopyOnWriteArraySetAdd;8.41;13.39;2.13
concurrent.ConcCollectionBenchmark.CopyOnWriteArraySetGet;0.47;0.74;0.13
concurrent.ConcCollectionBenchmark.CopyOnWriteArraySetRemove;1.71;0.86;5.30
concurrent.ConcCollectionBenchmark.VectorAdd;14.40;1.87;8.21
concurrent.ConcCollectionBenchmark.VectorGet;0.31;1.05;0.54
concurrent.ConcCollectionBenchmark.VectorRemove;2.18;2.14;1.49
concurrent.NotifyBenchmark.countdownLatch;25.48;38.90;0.86
concurrent.NotifyBenchmark.cyclicBarrier;7.65;6.30;6.11
concurrent.NotifyBenchmark.phaser;4.33;8.19;0.92
concurrent.NotifyBenchmark.waitNotify;4.81;6.20;1.98
CounterBenchmark.atomicInteger;0.00;0.00;0.00
CounterBenchmark.atomicLong;0.01;0.01;0.00
CounterBenchmark.mutableInt;0.03;0.03;0.02
CounterBenchmark.mutableLong;0.00;0.01;0.00
CounterBenchmark.primitiveInt;0.02;0.07;0.02
CounterBenchmark.primitiveLong;0.04;0.00;5.69
fieldaccess.GetterBenchmark.direct;0.06;0.06;0.00
fieldaccess.GetterBenchmark.lambdaMetaFactoryForGetter;0.02;0.07;0.04
fieldaccess.GetterBenchmark.methodHandleForField;0.26;0.41;0.65
fieldaccess.GetterBenchmark.methodHandleForGetter;0.06;0.09;0.00
fieldaccess.GetterBenchmark.reflectionField;0.03;0.09;0.11
fieldaccess.GetterBenchmark.reflectionGetter;1.38;1.59;0.24
fieldaccess.GetterBenchmark.varHandle;1.00;0.54;0.97
fieldaccess.SetterBenchmark.direct;0.25;0.23;0.03
fieldaccess.SetterBenchmark.lambdaMetaFactoryForSetter;0.25;0.22;0.03
